El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de lefímer, ha demanat.	inculcar 	ensenyar	ensenyar	ensenyar	ensenyar	transmetre	transmetre	inculcar	inculcar	transmès	educar	instruir	fer passar	impulsar	introduir	motivar	orientar	formar	dictar	introduit	presentar
El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de l’efímer, ha demanat.	efímer 	breu	breu	breu	breu	temporal	temporal	temporal	curt	curt	pasager	transintori	globalitat	conjunt	efímer	momentari	del secundari	del fútil	poc important	del que no ho és	poca cosa	efimer	que dura poc temps	que rápid acaba
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	inútil 	inútil	inútil	inútil	inútil	innecessària	innecessària	nula	nula	improductiva	fútil	ineficaç	inefficient	esteril	incompetent	sobrant	no útil	inutil	que no cal	no necessària
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	oceà 	mar	mar	mar	mar	mar	mar	mar	mar	excès	muntó	espai	immés	tasca	inmensitat	oceà	gran quantitat	multitud
I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	burocràcia 	paperassa	paperassa	paperassa	paperassa	paperassa	paperassa	administració	administració	administració	papers	papers	papers	documents	documents	documents	gestions	gestions	tràmits	tràmits	burocràcia	burocràcia	regulació	paperasa	feina d'oficina
Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	didàctics 	d'ensenyament	d'ensenyament	d'ensenyament	educatius	educatius	educatius	didàctics	didàctics	educatiu	escolar	d'estudi	pedagògics	formatius	ensenyament	culturals	pedagogic	didactics	per aprendre
Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	controvertits 	conflictius	conflictius	conflictius	polèmics	polèmics	polèmics	discutits	diffícils	complèxos	sensibles	polémics	qüestionables	poémics	controvertits	dificils	on no tothom pensa igual	difícils per arribar a accords
Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	decàleg 	llista	llista	llista	document	document	normes	normes	llistat	llistat	guia	propostes	normatives	estatut	lleis	taules	decàleg	conjunt	dossier	protocol	normativa	un pla	tutorial	revista	informe
També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	numèriques 	numèriques	numèriques	numèriques	numèriques	expressat amb nombres	numériques	valorades	obtingudes	resultats	fetes	en nombres	numeriques	en números
També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	arrodonida 	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	aproximat	aproximat	aproximada	sencer	completat	acostat	sense comes	completada
També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	decimals 	decimals	decimals	decimals	decimals	decimals	decimals	decimals	dígits	fraccionat	xifres	números	zeros després de la coma	números menys que 1
Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	antiracista 	antiracista	antiracista	antiracista	antiracista	antiracista	no racista	no racista	oposta al racisme	igualitària racial	humana	social	tolerant
Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	multicultural 	multicultural	multicultural	multicultural	multicultural	multicultural	multicultural	global	global	moltes cultures	diversa	d'altres cultures	universal	pluricultural	del mon	total	oberta
Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	decàleg 	informe	informe	informe	document	document	normes	normes	llista	llista	llistat	llistat	guia	pautes	regles	estatut	acords	text	decàleg	catàleg	cànon	a la llista	acord	normativa	revsita
