ca_1	catalan	Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	successius 	0.45	diferents	diferents	diferents	successius	successius	contigus	differents	diversos	continus	consecutius	seguit	seguits	ultims	tots	tot el conjunt	succesius	anteriors	previs
ca_2	catalan	Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	deteriorant 	0.525	debilitant	debilitant	debilitant	danyant	danyant	danyant	deteriorant	deteriorant	deteriorant	minant	posar en mal estat	fent mal	espatllant	empobrint	afeblint	deformant: desarticulant	perjudicant	fent malbe	tornant pitjor	canviant malament
ca_3	catalan	Els manifestants han denunciat que en els darrers anys "els successius governs d'aquí i d'allà han passat del menyspreu al desmantellament de l'escola pública, començant a Catalunya per la pròpia LEC" i han alertat que s'està "deteriorant greument la qualitat de l'educació pública i les condicions laborals dels treballadors".	desmantellament 	0.625	destrucció	destrucció	destrucció	destrucció	abandono	abandono	eliminar	esborrar	excloure	tancament	desconstrucció.	desmuntatge	desfeta	desmantellament	desarmament	la eliminació	a desmunta	a desfer-se	destrossar	desmuntar	final	desfer	destrucció lenta i per parts
ca_4	catalan	Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	eclesiàstica 	0.425	religiosa	religiosa	religiosa	de la esglesia	de la esglesia	de l'església	de l'església	eclesiàstica	eclesiàstica	clergue	catolica	clerical	religios	esglesia	de l.esglesia	eclesiastica
ca_5	catalan	Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	jerarquia 	0.525	jerarquia	jerarquia	jerarquia	jerarquia	jerarquia	ordre	ordre	prelatura	dignataris	gobern	organizació	associació	direcció	conclau	clero	estructura	distribució	cadena de poder	governants	societat
ca_6	catalan	Ribó ha apel·lat tota la jerarquia eclesiàstica a Catalunya, començant pel cardenal Omella, a "trobar la màxima interlocució i col·laboració pels casos que se'ns puguin presentar" i s'ha mostrat convençut que així serà, perquè li han donat "proves que hi estan disposats".	interlocució 	0.65	diàleg	diàleg	diàleg	diàleg	diàleg	conversa	conversa	conversa	comunicació	comunicació	discussió	discussió	conversació	conversació	conversación	interacció	parlar	interlocució	xerrada	conferència	entesa	comprensió	el màxim diàleg	parlar entre ells	disposicio	intercanvi d'idees
ca_7	catalan	Segons afirmen, el text certifica una "profunda claudicació en defensa del sistema d'immersió", tot proposant una "versió pròpia" del TIL aplicat a les Illes Balears que "no recull la realitat sociolingüística del català com a llengua minoritzada".	minoritzada 	0.55	minoritaria	minoritaria	minoritaria	minoritària	minoritària	marginada	marginada	minoritzada	minoritzada	poc parlada	poc parlada	mínim	apartar	ignorada	disminuida	reduida	en retrocés	poc coneguda	secundaria	inferiorr	poc usada
ca_18	catalan	El professorat no ha de ser de transmissor d'informació, sinó que ha d'inculcar el pensament crític i el pensament estratègic per combinar diferents informacions, entendre altres disciplines i distingir l'important de l’efímer, ha demanat.	efímer 	0.7	breu	breu	breu	breu	temporal	temporal	temporal	curt	curt	pasager	transintori	globalitat	conjunt	efímer	momentari	del secundari	del fútil	poc important	del que no ho és	poca cosa	efimer	que dura poc temps	que rápid acaba
ca_19	catalan	I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	inútil 	0.175	inútil	inútil	inútil	inútil	innecessària	innecessària	nula	nula	improductiva	fútil	ineficaç	inefficient	esteril	incompetent	sobrant	no útil	inutil	que no cal	no necessària
ca_20	catalan	I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	oceà 	0.325	mar	mar	mar	mar	mar	mar	mar	mar	excès	muntó	espai	immés	tasca	inmensitat	oceà	gran quantitat	multitud
ca_21	catalan	I mentrestant, docents i direccions de centres ofegats en un oceà de burocràcia inútil que no para de créixer, ha afegit la Intersindical.	burocràcia 	0.425	paperassa	paperassa	paperassa	paperassa	paperassa	paperassa	administració	administració	administració	papers	papers	papers	documents	documents	documents	gestions	gestions	tràmits	tràmits	burocràcia	burocràcia	regulació	paperasa	feina d'oficina
ca_22	catalan	Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	didàctics 	0.475	d'ensenyament	d'ensenyament	d'ensenyament	educatius	educatius	educatius	didàctics	didàctics	educatiu	escolar	d'estudi	pedagògics	formatius	ensenyament	culturals	pedagogic	didactics	per aprendre
ca_23	catalan	Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	controvertits 	0.6	conflictius	conflictius	conflictius	polèmics	polèmics	polèmics	discutits	diffícils	complèxos	sensibles	polémics	qüestionables	poémics	controvertits	dificils	on no tothom pensa igual	difícils per arribar a accords
ca_24	catalan	Per això, el Síndic recomana a Ensenyament elaborar un decàleg amb instruccions sobre el tractament de la situació política i materials didàctics per poder abordar temes controvertits a les aules, per garantir els drets de tots els infants.	decàleg 	0.65	llista	llista	llista	document	document	normes	normes	llistat	llistat	guia	propostes	normatives	estatut	lleis	taules	decàleg	conjunt	dossier	protocol	normativa	un pla	tutorial	revista	informe
ca_25	catalan	També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	numèriques 	0.3	numèriques	numèriques	numèriques	numèriques	expressat amb nombres	numériques	valorades	obtingudes	resultats	fetes	en nombres	numeriques	en números
ca_26	catalan	També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	arrodonida 	0.375	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	arrodonida	aproximat	aproximat	aproximada	sencer	completat	acostat	sense comes	completada
ca_27	catalan	També estableix el sistema de qualificacions, que serà la mitjana de les qualificacions numèriques obtingudes a cadascuna de les matèries cursades a la ESO expressada en una escala de l1 al 10 amb dos decimals, i arrodonida a la centèsima.	decimals 	0.4	decimals	decimals	decimals	decimals	decimals	decimals	decimals	dígits	fraccionat	xifres	números	zeros després de la coma	números menys que 1
ca_28	catalan	Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	antiracista 	0.425	antiracista	antiracista	antiracista	antiracista	antiracista	no racista	no racista	oposta al racisme	igualitària racial	humana	social	tolerant
ca_29	catalan	Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	multicultural 	0.45	multicultural	multicultural	multicultural	multicultural	multicultural	multicultural	global	global	moltes cultures	diversa	d'altres cultures	universal	pluricultural	del mon	total	oberta
ca_30	catalan	Una altra de les mesures que apareix al decàleg és introduir l'educació multicultural i antiracista dins del currículum.	decàleg 	0.625	informe	informe	informe	document	document	normes	normes	llista	llista	llistat	llistat	guia	pautes	regles	estatut	acords	text	decàleg	catàleg	cànon	a la llista	acord	normativa	revsita
